cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1964394,2014,0.60373563,0.28462642,NA,0.33191866,-0.026461884
1964436,2008,0.77157223,0.46663949,-0.043909699,-0.010067323,0.13181448
1964436,2014,0.85164338,0.475714,NA,-0.070779122,0.049272448
1964444,2004,0.68784392,0.38135734,NA,NA,-0.023346305
1964444,2008,0.72987556,0.33593166,0.053870007,0.12075757,-0.03550294
1964444,2010,0.76524436,0.29588071,3.0402839e-4,0.15316591,0.010475308
1964451,2004,0.78487206,0.4968932,NA,NA,-0.14396885
1964451,2008,0.84456003,0.52121264,-0.025341,-0.048605889,-0.49340999
1964451,2010,0.86938596,0.54298246,-0.011503376,-0.063234806,-0.25271738
1964469,2002,0.80723155,NA,NA,NA,0.1411325
1964469,2012,0.89967936,0.6124599,0.12860785,-0.10663768,0.013955981
1964477,2002,0.51112103,NA,NA,NA,0.0046250522
1964477,2014,0.78620261,0.87663144,NA,-0.50526291,-0.041159183
1964485,2010,0.7745055,0.34857142,0.24478123,-0.11529212,-0.029483065
1964501,2006,0.94061172,0.83823282,NA,NA,-0.082714051
1964501,2016,0.97063142,0.86847073,NA,-0.14409825,0.14313266
1964519,2016,0.97708946,0.85899705,NA,NA,-0.036099404
1964535,2002,0.27701151,NA,NA,NA,-0.010120094
1964550,2002,0.96675938,NA,NA,NA,-0.070089653
1964550,2010,0.97784662,0.76653755,0.070458919,-0.033470239,-0.21615541
1964550,2012,0.98235005,0.83984309,0.16841081,NA,-0.11028683
1964568,2008,0.42724127,0.45312446,0.02590698,0.55561537,-0.071634352
1964576,2004,0.23421741,0.1331092,NA,NA,-0.16588786
1964592,2004,0.94627869,0.82786793,NA,NA,-0.0030827522
1964592,2008,0.96878493,0.83680731,0.19905733,-0.33134666,-0.10328263
1964592,2010,0.97935826,0.87144899,0.1329017,-0.21916576,-0.017994702
1964592,2012,0.98062593,0.892591,0.015163183,-0.14021984,-0.040091917
1964600,2006,0.21084338,0.043172691,NA,NA,-0.027600855
1964600,2010,0.23507106,0.036966823,0.042318225,1.1085154,0.054124668
1964600,2014,0.27040815,0.024659865,NA,1.1511776,0.10448204
1964626,2004,0.087759793,0.27944574,NA,NA,0.09439528
1964626,2006,0.10619467,0.18362832,NA,NA,-0.062043801
1964626,2008,0.14418602,0.22093023,0.0087589622,NA,-0.10955711
1964634,2002,0.99415451,NA,NA,NA,-0.22515371
1964634,2004,0.99624789,0.58445215,NA,NA,-0.20131961
1964634,2006,0.99624169,0.62017924,NA,NA,0.053315282
1964634,2006,0.99624169,0.62017924,NA,NA,-0.5668931
1964634,2006,0.99624169,0.62017924,NA,NA,-0.23241901
1964634,2010,0.99478751,0.60871804,0.08349131,NA,-0.027162999
1964634,2010,0.99478751,0.60871804,0.08349131,NA,-0.40354991
1964634,2012,0.99548447,0.74092191,-0.045687482,NA,-0.30859974
1964642,2006,0.59625578,0.71918052,NA,NA,0.010914043
1964642,2008,0.66313267,0.7127223,-0.057802618,-0.29837942,-0.035953179
1964642,2008,0.66313267,0.7127223,-0.057802618,-0.29837942,-0.065789461
1964659,2002,0.30386472,NA,NA,NA,-0.078276858
1964659,2004,0.30056578,0.0070721358,NA,NA,0.10992846
1964659,2006,0.29330254,0.0085450346,NA,NA,0.027869269
1964659,2010,0.39562994,0,0.0064650774,1.4281569,0.036716908
1964659,2016,0.41403335,0.011445633,NA,1.2762743,0.0014808178
1964667,2002,0.50323576,NA,NA,NA,0.0042579621
1964667,2010,0.73081028,0.66158289,-0.099152565,-0.35415205,0.011819556
1964667,2012,0.79818594,0.62536007,-0.017091393,-0.41641009,-0.23806943
1964683,2012,0.20115614,0.029909518,-0.15155286,1.4448688,0.16275676
1964691,2008,0.91601503,0.74350953,0.10835433,-0.28561446,-0.037166595
1964717,2008,0.8962878,0.62743974,0.10102827,-0.10670972,-0.023754537
1964725,2013,0.83586967,0.66881365,-0.012506334,-0.049240783,-0.31031576
1964725,2014,0.8391937,0.68195271,NA,-0.053260326,-0.035856575
1964733,2012,0.91097701,0.7320891,0.11460333,-0.29666349,0.19321617
1964733,2012,0.91097701,0.7320891,0.11460333,-0.29666349,-0.33130586
1964733,2014,0.91184002,0.74620748,NA,-0.27127358,0.02026549
1964733,2016,0.9116959,0.61686444,NA,-0.20943747,-0.48507223
1964733,2016,0.9116959,0.61686444,NA,-0.20943747,-0.34495628
1964733,2016,0.9116959,0.61686444,NA,-0.20943747,-0.17989016
1964733,2016,0.9116959,0.61686444,NA,-0.20943747,-0.028831393
1964758,2002,0.94790697,NA,NA,NA,-0.032458231
1964758,2004,0.96647549,0.85178649,NA,NA,-0.10746811
