id,send_date,resp_date,days_to_resp,t_mohammad,t_good,treatments,resp_true,reject1,unclear1,accept1,school_type,bigcity,region,above_median_student,above_median_grades,above_median_non_danes
1103,2017-03-08,2017-03-09,1,1,0,1,1,0,0,1,0,0,Region Midtjylland,0,0,0
1104,2017-03-08,2017-03-09,1,1,1,0,0,1,0,0,1,0,Region Sjælland,0,0,1
1105,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,0,0,Region Syddanmark,0,0,0
1106,2017-03-08,2017-03-09,1,1,1,0,1,1,0,0,0,1,Region Hovedstaden,0,1,0
1107,2017-03-08,2017-03-10,2,1,1,0,0,1,0,0,1,0,Region Midtjylland,0,0,0
1108,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,0,Region Syddanmark,1,0,1
1109,2017-03-08,2017-03-13,5,1,0,1,1,1,0,0,1,0,Region Sjælland,1,0,0
1110,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,0,0,Region Nordjylland,0,0,0
1111,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,0,0,Region Syddanmark,0,1,0
1112,2017-03-08,NA,NA,0,0,3,0,1,0,0,1,0,Region Syddanmark,1,1,0
1113,2017-03-08,2017-03-09,1,1,1,0,1,0,1,0,0,0,Region Nordjylland,0,0,0
1114,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,0,0,Region Midtjylland,0,NA,1
1115,2017-03-08,2017-03-10,2,1,0,1,1,1,0,0,0,0,Region Midtjylland,0,NA,0
1116,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,0,1,Region Hovedstaden,0,0,1
1117,2017-03-08,2017-03-09,1,0,1,2,0,1,0,0,1,0,Region Syddanmark,1,0,1
1118,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,1,Region Hovedstaden,1,0,1
1119,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,1,Region Syddanmark,0,1,1
1120,2017-03-08,NA,NA,0,1,2,0,1,0,0,1,0,Region Sjælland,1,0,1
1121,2017-03-08,NA,NA,1,1,0,0,1,0,0,1,0,Region Midtjylland,1,0,0
1122,2017-03-08,2017-03-09,1,1,0,1,1,1,0,0,1,1,Region Hovedstaden,1,0,1
1123,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,0,Region Syddanmark,1,1,0
1124,2017-03-08,2017-03-09,1,1,1,0,1,0,0,1,0,0,Region Midtjylland,0,NA,0
1125,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,0,Region Sjælland,0,0,0
1126,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,0,0,Region Midtjylland,1,1,0
