state,dist,incumbent,repvoteshare,repspending,demspending,trumpvoteshare,lagrepvoteshare
"UT",3,"R",.7121,14.19668,10.42258,.7501,.7345999
"UT",4,"R",.4987,15.5958,15.01141,.6562,.5655
"VT",1,"D",.2727,9.284891,13.41595,.3483,0
"VA",1,"R",.5524,14.55904,12.66543,.5654,.6205
"VA",2,"R",.4888,15.22245,15.26732,.518,.6146
"VA",4,"D",.3647,12.38406,13.74436,.3873,.4213
"VA",7,"R",.4902,15.03073,15.80201,.5344,.5765001
"VA",8,"D",.2373,11.21994,14.42052,.2214,.2851
"VA",9,"R",.6522,14.03277,13.87545,.7159,.7078
"VA",10,"R",.438,15.68064,15.62631,.447,.529
"VA",11,"D",.2747,13.39691,14.33007,.2913,0
"WA",1,"D",.4073,9.842091,14.25921,.4113,.4458
"WA",3,"R",.5267,14.92829,15.1644,.54,.6175
"WA",4,"R",.6282,13.8904,13.05493,.6226,1
"WA",5,"R",.5476,15.56293,15.55766,.5717,.5964
"WA",6,"D",.3611,10.65547,14.12317,.4326,.3847
"WA",7,"D",.1644,8.821879,14.25762,.1294,0
"WA",10,"D",.3846,8.711608,14.0157,.4375,.4133
"WV",1,"R",.6458,14.18185,12.53036,.7203,.6897
"WV",2,"R",.5567,14.00277,13.43541,.6912,.5818
"WI",3,"D",.4033,12.6278,14.62679,.5239,0
"WI",4,"D",.2225,0,13.87993,.2276,0
"WI",5,"R",.6198,13.0866,12.46963,.6061,.6949
"WI",6,"R",.5551,14.43258,15.04333,.5894,.6054
"WI",7,"R",.6095001,14.8586,11.68541,.6078,.6171
"WI",8,"R",.6371,14.55963,12.74687,.5928,.6268
"WY",1,"R",.6811,13.48107,10.75941,.757,.6741999
