baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
59,1,1,1,1,0,0,1.3228723,0.73137653
59,1,0,1,1,0,0,0.75196129,0.6849876
23,0,0,0,0,1,0,-1.9184244,-2.5704169
26,0,1,1,0,1,0,0.37125698,-0.54109615
51,1,1,0,0,0,0,-3.6116393,-3.7247047
26,1,1,0,0,0,0,1.0885372,0.21013531
46,1,0,1,0,1,0,0.82179594,1.6254369
57,0,1,1,0,1,1,-0.28215605,0.31216845
27,0,1,1,0,0,0,0.42201516,0.51753801
45,1,0,1,0,0,0,-0.38323078,-0.47776923
73,0,1,1,0,1,0,-1.2011442,-0.058561146
28,1,1,1,0,0,0,1.3734096,-1.7256212
56,0,0,1,1,0,0,1.1080554,-0.86114693
58,0,1,1,1,0,0,-0.3637127,-0.10495009
65,1,0,1,0,0,0,1.7412256,2.0783858
47,1,1,0,0,0,0,-0.70028865,0.10888845
59,0,0,0,0,1,0,-1.8421105,-2.7757864
30,1,0,1,0,0,0,-0.015856342,0.21860428
69,1,1,1,0,0,0,-0.015635539,0.95368403
45,0,1,1,0,0,0,-0.53622991,0.75040406
34,1,1,1,0,0,0,0.43468261,1.820248
37,1,1,1,1,0,0,1.5066699,1.4664563
48,0,1,1,1,0,0,0.97479504,0.6469326
60,0,0,1,0,0,0,0.37147778,-0.47776923
71,0,1,1,1,0,0,1.1390746,0.92618757
34,0,0,1,0,1,0,-0.37012172,-2.1040335
30,0,1,1,0,1,0,-1.2840879,-0.9990105
46,1,1,0,1,0,0,0.0036617406,-0.16827698
41,0,1,1,1,0,0,-0.1488958,-0.050092168
59,0,1,1,1,0,0,-1.6390157,-0.64521885
57,0,1,1,1,0,0,-0.80136341,-0.53262717
38,0,1,0,0,1,0,-0.63686305,1.7161252
44,0,1,1,1,0,0,0.70827454,0.50697947
37,0,1,0,0,0,0,-0.88430709,-0.53262717
35,0,1,1,0,1,0,0.25088498,-0.78517193
34,1,1,1,1,0,0,2.3753414,2.6101856
