"","taxrich","effort_rich","proso_rich","Age","female","Income","Education","party_left","party_right"
"353",0.5,0.83333331,0.16666667,42,0,0.80000001,0.33333334,0,0
"354",0,0.33333334,0.33333334,66,1,0.1,0.16666667,1,0
"355",0.40000001,1,0.66666669,56,1,NA,0.16666667,0,0
"356",0.5,0,0.66666669,18,1,0.60000002,NA,0,1
"357",0.5,0.83333331,0.83333331,48,1,0.80000001,0.66666669,0,0
"358",0.40000001,0.66666669,0.5,19,0,NA,0,1,0
"359",0.80000001,1,0.83333331,54,0,0.60000002,0,0,1
"360",0.1,0.66666669,0.16666667,59,1,NA,0.16666667,0,0
"361",0.5,0.83333331,0.66666669,24,1,0.40000001,0.66666669,0,0
"362",0.5,0.66666669,0.5,39,1,1,0.83333331,1,0
"363",0.30000001,0.83333331,0.5,18,1,0.5,0,1,0
"364",0.40000001,0.83333331,0.83333331,50,1,0.89999998,0.16666667,0,0
"365",0.5,0.66666669,0.66666669,36,0,NA,0.16666667,0,0
"366",0.5,NA,0.33333334,41,0,NA,0.16666667,1,0
"367",0.5,NA,0.66666669,64,0,NA,0.16666667,0,0
"368",0.5,0.66666669,0.66666669,22,0,0.1,0.33333334,1,0
"369",0.40000001,0.83333331,0.33333334,58,0,0.2,0.66666669,0,0
"370",0.5,0.83333331,0.5,32,1,0.30000001,0.66666669,0,1
"371",0.5,0.66666669,0.5,72,0,0.30000001,0.66666669,0,1
"372",0.40000001,0.33333334,0.16666667,42,1,0.5,0.33333334,1,0
"373",0.5,0.5,0.16666667,62,0,0.60000002,0.66666669,1,0
"374",0.40000001,0.66666669,0.66666669,66,1,0.1,0,1,0
"375",0.5,1,0.5,34,0,NA,0.16666667,1,0
"376",0.2,0.83333331,0.5,51,0,0.40000001,0.16666667,1,0
"377",0.30000001,NA,NA,70,1,0.40000001,0.16666667,0,0
"378",0.40000001,1,1,44,1,0.1,0,0,0
"379",0.5,1,0.83333331,73,1,0.1,0,1,0
"380",0.5,NA,NA,52,1,0.2,0.16666667,0,0
"381",0.2,1,NA,49,1,0.40000001,0.16666667,1,0
"382",0,1,0.83333331,62,0,0.5,0.16666667,1,0
"383",0.2,0.66666669,0.33333334,29,0,0.69999999,0.66666669,1,0
"384",0.5,NA,NA,63,0,NA,0,0,1
"385",0,0.5,0.33333334,37,0,0.60000002,0.16666667,1,0
"386",0.5,0.66666669,0.5,26,1,0.69999999,0.66666669,1,0
"387",0.30000001,0.66666669,0.66666669,50,1,0.30000001,0.66666669,1,0
"388",0.5,0.83333331,0.83333331,53,0,0.69999999,0.5,1,0
"389",0.5,0.83333331,1,70,1,NA,0.16666667,1,0
"390",0.30000001,1,0.66666669,25,1,0.1,0.83333331,0,1
"391",0.40000001,0.66666669,0.66666669,50,1,1,0.66666669,1,0
"392",0.30000001,0.66666669,0.5,50,1,0.40000001,0.16666667,0,1
"393",0.40000001,0.83333331,0.66666669,64,1,0.5,0.5,1,0
"394",1,1,1,72,1,NA,0.5,1,0
"395",0,0.5,0.5,37,1,0.1,0.66666669,1,0
"396",0.5,0.83333331,0.83333331,50,1,NA,0.66666669,0,0
"397",0,0.83333331,0.5,65,1,NA,0.66666669,0,0
"398",0.5,1,0.83333331,32,1,1,0.83333331,0,1
"399",0.5,0.83333331,1,19,0,1,0.33333334,1,0
"400",0.30000001,1,0.5,54,1,0.2,0.66666669,1,0
"401",0.2,0.66666669,0.33333334,73,0,0.80000001,0.66666669,1,0
"402",0.69999999,0.5,0.5,48,0,NA,0.83333331,0,1
"403",0.40000001,NA,0.5,51,1,0.1,0.66666669,0,0
"404",0,0.66666669,0.33333334,73,0,0.2,0,0,1
